unique,head2,head2ID,course_rating,new_sub_streams,new_sub_streamsID,degree_type,stream_rating,levelID,country_id,country
10262321114,Accounting After Degree,1014,36,Commerce,321,Bachelor,23,1,14,Canada
369331911,Accounting and Analytics,1015,2,Business,319,Bachelor,1,1,1,USA
1178531922,Accounting and Business,1016,1251,Business,319,Master,1,2,2,United Kingdom
1178532113,Accounting and Business,1016,21,Commerce,321,Bachelor,23,1,3,Australia
1179032113,Accounting and Business Information Systems,1017,38,Commerce,321,Bachelor,23,1,3,Australia
1178632113,Accounting and Entrepreneurship,1018,23,Commerce,321,Bachelor,23,1,3,Australia
357431911,Accounting and Finance,1019,1252,Business,319,Bachelor,1,1,1,USA
357431925,Accounting and Finance,1019,1252,Business,319,Master,1,2,5,Germany
357431913,Accounting and Finance,1019,1252,Business,319,Bachelor,1,1,3,Australia
357431916,Accounting and Finance,1019,1252,Business,319,Bachelor,1,1,6,Hong Kong
357431921,Accounting and Finance,1019,1252,Business,319,Master,1,2,1,USA
3574350314,Accounting and Finance,1019,227,Business Management,350,Certificate/Diploma,7,3,14,Canada
1310350314,Accounting and Finance,1019,227,Business Management,350,Certificate/Diploma,7,3,14,Canada
357432118,Accounting and Finance,1019,25,Commerce,321,Bachelor,23,1,8,Malaysia
3574321114,Accounting and Finance,1019,25,Commerce,321,Bachelor,23,1,14,Canada
1142632113,Accounting and Finance,1019,25,Commerce,321,Bachelor,23,1,3,Australia
357432113,Accounting and Finance,1019,25,Commerce,321,Bachelor,23,1,3,Australia
357433722,Accounting and Finance,1019,383,Sciences,337,Master,33,2,2,United Kingdom
10159327113,Accounting and Finance,1019,6,Finance,327,Bachelor,34,1,13,United Arab Emirates
3574327113,Accounting and Finance,1019,6,Finance,327,Bachelor,34,1,13,United Arab Emirates
357432722,Accounting and Finance,1019,6,Finance,327,Master,34,2,2,United Kingdom
357432712,Accounting and Finance,1019,6,Finance,327,Bachelor,34,1,2,United Kingdom
1738731921,Accounting and Financial Management,1020,1253,Business,319,Master,1,2,1,USA
900132113,Accounting and Information Technology,1021,40,Commerce,321,Bachelor,23,1,3,Australia
324531921,Accounting and Management,1022,1254,Business,319,Master,1,2,1,USA
324531911,Accounting and Management,1022,1254,Business,319,Bachelor,1,1,1,USA
286931311,Accounting Business Law,1023,32,Law,313,Bachelor,27,1,1,USA
118131921,Accounting in Taxation,1024,1255,Business,319,Master,1,2,1,USA
118131911,Accounting in Taxation,1024,1255,Business,319,Bachelor,1,1,1,USA
118132113,Accounting in Taxation,1024,27,Commerce,321,Bachelor,23,1,3,Australia
118131321,Accounting in Taxation,1024,476,Law,313,Master,27,2,1,USA
118131325,Accounting in Taxation,1024,476,Law,313,Master,27,2,5,Germany
1181313214,Accounting in Taxation,1024,476,Law,313,Master,27,2,14,Canada
118132721,Accounting in Taxation,1024,141,Finance,327,Master,34,2,1,USA
1179132113,Accounting Technologies,1025,42,Commerce,321,Bachelor,23,1,3,Australia
11091350114,"Accounting, Audit and Information Technology",1026,40,Business Management,350,Bachelor,7,1,14,Canada
900232113,"Accounting, Economics and Finance",1027,44,Commerce,321,Bachelor,23,1,3,Australia
353515211,Acoustical Engineering and Music,1028,28,Music,152,Bachelor,28,1,1,USA
847033421,Acoustics,1029,21,Physics,334,Master,66,2,1,USA
847033422,Acoustics,1029,21,Physics,334,Master,66,2,2,United Kingdom
847033411,Acoustics,1029,21,Physics,334,Bachelor,66,1,1,USA
1486615212,Acoustics and Music Technology,1030,29,Music,152,Bachelor,28,1,2,United Kingdom
1763332621,Acting for Film,1031,15,"Film, Photography and Media",326,Master,56,2,1,USA
1763322411,Acting for Film,1031,174,Fine Arts,224,Bachelor,119,1,1,USA
7928321114,Actuarial Mathematics,1032,31,Commerce,321,Bachelor,23,1,14,Canada
792831411,Actuarial Mathematics,1032,194,Mathematics,314,Bachelor,26,1,1,USA
245131911,Actuarial Science,1033,1256,Business,319,Bachelor,1,1,1,USA
245131921,Actuarial Science,1033,1256,Business,319,Master,1,2,1,USA
2451319111,Actuarial Science,1033,1256,Business,319,Bachelor,1,1,11,Singapore
2451321114,Actuarial Science,1033,33,Commerce,321,Bachelor,23,1,14,Canada
245132113,Actuarial Science,1033,33,Commerce,321,Bachelor,23,1,3,Australia
245132123,Actuarial Science,1033,33,Commerce,321,Master,23,2,3,Australia
245131411,Actuarial Science,1033,195,Mathematics,314,Bachelor,26,1,1,USA
245131421,Actuarial Science,1033,195,Mathematics,314,Master,26,2,1,USA
1753727321,Acupuncture,1034,13,Health Care,273,Master,36,2,1,USA
1137727323,Acute Care,1035,28,Health Care,273,Master,36,2,3,Australia
1137727312,Acute Care,1035,28,Health Care,273,Bachelor,36,1,2,United Kingdom
765227321,Acute Care Pediatric Nurse Practitioner,1036,29,Health Care,273,Master,36,2,1,USA
1765918421,Adapted Physical Activity,1037,71,Sports Sciences,184,Master,92,2,1,USA
481818411,Adapted Physical Education,1038,18,Sports Sciences,184,Bachelor,92,1,1,USA
481818421,Adapted Physical Education,1038,18,Sports Sciences,184,Master,92,2,1,USA
1338233729,Adaptive Organisms,1039,135,Sciences,337,Master,33,2,9,Netherlands
21676121,Addiction Counseling,1040,15,Counselling,61,Master,83,2,1,USA
21676111,Addiction Counseling,1040,15,Counselling,61,Bachelor,83,1,1,USA
216761114,Addiction Counseling,1040,15,Counselling,61,Bachelor,83,1,14,Canada
216761314,Addiction Counseling,1040,15,Counselling,61,Certificate/Diploma,83,3,14,Canada
21676122,Addiction Counseling,1040,15,Counselling,61,Master,83,2,2,United Kingdom
1294927327,Addiction Recovery,1041,14,Health Care,273,Master,36,2,7,Ireland
135927311,Addiction Studies,1042,30,Health Care,273,Bachelor,36,1,1,USA
1359273114,Addiction Studies,1042,30,Health Care,273,Bachelor,36,1,14,Canada
604427311,Addictive Behaviors Counseling and Prevention,1043,31,Health Care,273,Bachelor,36,1,1,USA
1281532427,Additional Support Needs,1044,234,Education,324,Master,55,2,7,Ireland
960010022,Additive Layer Manufacturing Technologies,1045,32,Technology,100,Master,18,2,2,United Kingdom
1817531021,Additive Manufacturing,1046,28,Engineering,310,Master,11,2,1,USA
845827321,Additive Manufacturing and Design,1047,32,Health Care,273,Master,36,2,1,USA
204715211,Administration,1048,30,Music,152,Bachelor,28,1,1,USA
204729921,Administration,1048,30,Operations Management,299,Master,78,2,1,USA
204729911,Administration,1048,30,Operations Management,299,Bachelor,78,1,1,USA
2047299114,Administration,1048,30,Operations Management,299,Bachelor,78,1,14,Canada
2047299314,Administration,1048,30,Operations Management,299,Certificate/Diploma,78,3,14,Canada
2047299514,Administration,1048,30,Operations Management,299,Doctorate,78,5,14,Canada
2047299214,Administration,1048,30,Operations Management,299,Master,78,2,14,Canada
204725121,Administration,1048,30,Performing Arts,251,Master,96,2,1,USA
462629911,Administration - General Administration,1049,17,Operations Management,299,Bachelor,78,1,1,USA
462629921,Administration - General Administration,1049,17,Operations Management,299,Master,78,2,1,USA
545929911,Administration - Human Resources Administration,1050,18,Operations Management,299,Bachelor,78,1,1,USA
545929921,Administration - Human Resources Administration,1050,18,Operations Management,299,Master,78,2,1,USA
10707324214,Administration and Education Policy,1051,16,Education,324,Master,55,2,14,Canada
10707324514,Administration and Education Policy,1051,16,Education,324,Doctorate,55,5,14,Canada
719429921,Administration and Leadership,1052,4,Operations Management,299,Master,78,2,1,USA
1313924918,Administration and Social Studies,1053,110,Social Studies,249,Bachelor,64,1,8,Malaysia
381229921,Administration and Supervision,1054,10,Operations Management,299,Master,78,2,1,USA
10565322514,Administration Data Science,1055,17,Data Science and Analytics,322,Doctorate,4,5,14,Canada
10679350214,Administration Development of People and Organizations,1056,41,Business Management,350,Master,7,2,14,Canada
1034479114,Administration Entrepreneurship,1057,3,Entrepreneurship,79,Bachelor,39,1,14,Canada
10346327114,Administration Finance,1058,19,Finance,327,Bachelor,34,1,14,Canada
10346327214,Administration Finance,1058,19,Finance,327,Master,34,2,14,Canada
10680350214,Administration Financial Engineering,1059,42,Business Management,350,Master,7,2,14,Canada
10348114114,Administration Human Resource Management,1060,21,Human Resource Management,114,Bachelor,83,1,14,Canada
10720126214,Administration Information Technology Management,1061,40,Information Technology,126,Master,13,2,14,Canada
10343350114,Administration International Business,1062,43,Business Management,350,Bachelor,7,1,14,Canada
10681350214,Administration International Management,1063,44,Business Management,350,Master,7,2,14,Canada
10682350214,Administration Logistics and Analytics,1064,45,Business Management,350,Master,7,2,14,Canada
2550350114,Administration Management,1065,229,Business Management,350,Bachelor,7,1,14,Canada
2550350214,Administration Management,1065,229,Business Management,350,Master,7,2,14,Canada
255029911,Administration Management,1065,2,Operations Management,299,Bachelor,78,1,1,USA
10683350214,Administration Management of International Development and Humanitarian Action,1066,46,Business Management,350,Master,7,2,14,Canada
10349136114,Administration Marketing,1067,13,Marketing,136,Bachelor,80,1,14,Canada
10349136214,Administration Marketing,1067,13,Marketing,136,Master,80,2,14,Canada
10567273414,Administration of Health Services,1068,33,Health Care,273,Graduate Certificate/Graduate Diploma,36,4,14,Canada
368731311,Administration of Justice,1069,33,Law,313,Bachelor,27,1,1,USA
368731321,Administration of Justice,1069,33,Law,313,Master,27,2,1,USA
285234121,Administration of Non-profit Agencies,1070,67,Management,341,Master,5,2,1,USA
10619350314,Administration of Public Services,1071,47,Business Management,350,Certificate/Diploma,7,3,14,Canada
1713734121,Administration of Supervision and Curriculum,1072,68,Management,341,Master,5,2,1,USA
10684350214,Administration Operations and Decision Systems,1073,48,Business Management,350,Master,7,2,14,Canada
10685350214,Administration Organizational Information System,1074,49,Business Management,350,Master,7,2,14,Canada
760434111,Administration Public Administration Concentration,1075,69,Management,341,Bachelor,5,1,1,USA
760617411,Administration Real Estate,1076,6,Real Estate,174,Bachelor,101,1,1,USA
7606174214,Administration Real Estate,1076,6,Real Estate,174,Master,101,2,14,Canada
10686350514,Administration Sciences Management,1077,50,Business Management,350,Doctorate,7,5,14,Canada
10730136514,Administration Sciences Marketing,1078,74,Marketing,136,Doctorate,80,5,14,Canada
760513611,Administration Sports and Entertainment Marketing,1079,75,Marketing,136,Bachelor,80,1,1,USA
760718411,Administration Supply Chain and Transportation Management Concentration,1080,72,Sports Sciences,184,Bachelor,92,1,1,USA
465134111,Administrative Assistant,1081,20,Management,341,Bachelor,5,1,1,USA
11178350314,Administrative Assistant Applications,1082,24,Business Management,350,Certificate/Diploma,7,3,14,Canada
11092350414,Administrative Business Management,1083,51,Business Management,350,Graduate Certificate/Graduate Diploma,7,4,14,Canada
1195131323,Administrative Law and Policy,1084,34,Law,313,Master,27,2,3,Australia
553432421,"Administrative Leadership (Adult, Continuing, and Higher Education Administration)",1085,235,Education,324,Master,55,2,1,USA
553532421,Administrative Leadership (Emphasis on Educational Administration & Supervision),1086,236,Education,324,Master,55,2,1,USA
1766834121,Administrative Program for Principals,1087,70,Management,341,Master,5,2,1,USA
10687350514,Administrative Sciences International Management,1088,52,Business Management,350,Doctorate,7,5,14,Canada
10688350514,Administrative Sciences Organizational Information Systems,1089,53,Business Management,350,Doctorate,7,5,14,Canada
310134121,Administrative Studies,1090,4,Management,341,Master,5,2,1,USA
310134111,Administrative Studies,1090,4,Management,341,Bachelor,5,1,1,USA
643233221,ADN (RN) to MSN,1091,113,Nursing,332,Master,79,2,1,USA
326332411,Adolescence Education,1092,17,Education,324,Bachelor,55,1,1,USA
326332421,Adolescence Education,1092,17,Education,324,Master,55,2,1,USA
305932411,Adolescence Education - Biology,1093,18,Education,324,Bachelor,55,1,1,USA
305932421,Adolescence Education - Biology,1093,18,Education,324,Master,55,2,1,USA
154132411,Adolescence Education - Chemistry,1094,19,Education,324,Bachelor,55,1,1,USA
154132421,Adolescence Education - Chemistry,1094,19,Education,324,Master,55,2,1,USA
154232411,Adolescence Education - Earth Science,1095,20,Education,324,Bachelor,55,1,1,USA
154232421,Adolescence Education - Earth Science,1095,20,Education,324,Master,55,2,1,USA
154332411,Adolescence Education - English,1096,21,Education,324,Bachelor,55,1,1,USA
154332421,Adolescence Education - English,1096,21,Education,324,Master,55,2,1,USA
154432411,Adolescence Education - French,1097,22,Education,324,Bachelor,55,1,1,USA
154532411,Adolescence Education - Mathematics,1098,23,Education,324,Bachelor,55,1,1,USA
154532421,Adolescence Education - Mathematics,1098,23,Education,324,Master,55,2,1,USA
154632411,Adolescence Education - Physics,1099,24,Education,324,Bachelor,55,1,1,USA
689432411,Adolescence Education - Science,1100,25,Education,324,Bachelor,55,1,1,USA
306032411,Adolescence Education - Social Studies,1101,26,Education,324,Bachelor,55,1,1,USA
306032421,Adolescence Education - Social Studies,1101,26,Education,324,Master,55,2,1,USA
154732411,Adolescence Education - Spanish,1102,27,Education,324,Bachelor,55,1,1,USA
1688832411,Adolescence Education in Mathematics,1103,237,Education,324,Bachelor,55,1,1,USA
306232411,Adolescence Education-Earth Science,1104,239,Education,324,Bachelor,55,1,1,USA
306332411,Adolescence Education-English,1105,240,Education,324,Bachelor,55,1,1,USA
306132411,Adolescence Education-Mathematics,1106,28,Education,324,Bachelor,55,1,1,USA
1760932421,Adolescence Education/Students With Disabilities Generalist 7-12,1107,238,Education,324,Master,55,2,1,USA
604732421,Adolescence Special Education,1108,29,Education,324,Master,55,2,1,USA
604732411,Adolescence Special Education,1108,29,Education,324,Bachelor,55,1,1,USA
611632411,Adolescent Earth Science,1109,30,Education,324,Bachelor,55,1,1,USA
436032411,Adolescent Education,1110,31,Education,324,Bachelor,55,1,1,USA
436132411,Adolescent English,1111,32,Education,324,Bachelor,55,1,1,USA
436332411,Adolescent Generalist with English-Language Arts,1112,241,Education,324,Bachelor,55,1,1,USA
605432421,Adolescent Literacy,1113,242,Education,324,Master,55,2,1,USA
436232411,Adolescent Math Education,1114,33,Education,324,Bachelor,55,1,1,USA
611732411,Adolescent Mathematics,1115,243,Education,324,Bachelor,55,1,1,USA
611832411,Adolescent Physics,1116,244,Education,324,Bachelor,55,1,1,USA
777632421,Adolescent Special Education,1117,245,Education,324,Master,55,2,1,USA
611932411,Adolescent Teaching Languages Other Than English,1118,246,Education,324,Bachelor,55,1,1,USA
688232411,Adolescent to Young Adult,1119,247,Education,324,Bachelor,55,1,1,USA
688232421,Adolescent to Young Adult,1119,247,Education,324,Master,55,2,1,USA
1726632411,Adolescents and Schools,1120,248,Education,324,Bachelor,55,1,1,USA
722533221,Adult - Gerontology,1121,17,Nursing,332,Master,79,2,1,USA
571832421,Adult & Higher Education,1122,249,Education,324,Master,55,2,1,USA
701632421,Adult and Community College Education - Adult and Continuing Professional Education,1123,250,Education,324,Master,55,2,1,USA
701732421,Adult and Community College Education - Community College Teaching,1124,251,Education,324,Master,55,2,1,USA
702327321,Adult and Community College Education - Health Professions Education,1125,34,Health Care,273,Master,36,2,1,USA
597632421,Adult and Continuing,1126,252,Education,324,Master,55,2,1,USA
246132421,Adult and Higher Education,1127,34,Education,324,Master,55,2,1,USA
246124551,Adult and Higher Education,1127,148,Philosophy,245,Doctorate,97,5,1,USA
277932421,Adult and Lifelong Learning,1128,253,Education,324,Master,55,2,1,USA
662132411,Adult and Organizational Development,1129,254,Education,324,Bachelor,55,1,1,USA
365832421,Adult Education,1130,35,Education,324,Master,55,2,1,USA
3658324214,Adult Education,1130,35,Education,324,Master,55,2,14,Canada
3658324514,Adult Education,1130,35,Education,324,Doctorate,55,5,14,Canada
365832427,Adult Education,1130,35,Education,324,Master,55,2,7,Ireland
712032421,Adult Learning,1131,36,Education,324,Master,55,2,1,USA
712032423,Adult Learning,1131,36,Education,324,Master,55,2,3,Australia
7120324210,Adult Learning,1131,36,Education,324,Master,55,2,10,New Zealand
150333712,Adult Nursing,1132,384,Sciences,337,Bachelor,33,1,2,United Kingdom
150333221,Adult Nursing,1132,18,Nursing,332,Master,79,2,1,USA
150333212,Adult Nursing,1132,18,Nursing,332,Bachelor,79,1,2,United Kingdom
150333222,Adult Nursing,1132,18,Nursing,332,Master,79,2,2,United Kingdom
524033251,"Adult, Occupational and Continuing Education (Doctor of Education)",1133,114,Nursing,332,Doctorate,79,5,1,USA
1012731911,Advanced AI,1134,32,Business,319,Bachelor,1,1,1,USA
1012731921,Advanced AI,1134,32,Business,319,Master,1,2,1,USA
1245033125,Advanced Anglophone Studies,1135,45,Language,331,Master,116,2,5,Germany
10481328314,Advanced Applied Digital Geography and GIS,1136,52,Geography,328,Certificate/Diploma,95,3,14,Canada
1585527322,Advanced Audiology,1137,35,Health Care,273,Master,36,2,2,United Kingdom
1583628422,Advanced Biomedical Imaging,1138,17,Biomedical Studies,284,Master,86,2,2,United Kingdom
1371628412,Advanced Biomedical Science,1139,18,Biomedical Studies,284,Bachelor,86,1,2,United Kingdom
1371628422,Advanced Biomedical Science,1139,18,Biomedical Studies,284,Master,86,2,2,United Kingdom
1000431933,Advanced Business,1140,33,Business,319,Certificate/Diploma,1,3,3,Australia
1000431913,Advanced Business,1140,33,Business,319,Bachelor,1,1,3,Australia
10331350314,Advanced Business Administration,1141,54,Business Management,350,Certificate/Diploma,7,3,14,Canada
10958273314,Advanced Care Paramedic,1142,36,Health Care,273,Certificate/Diploma,36,3,14,Canada
11213315414,Advanced Care Paramedicine,1143,58,Medicine,315,Graduate Certificate/Graduate Diploma,16,4,14,Canada
1568933722,Advanced CBT Practice (Resilience and Positive Development),1144,385,Sciences,337,Master,33,2,2,United Kingdom
1568927342,Advanced CBT Practice (Resilience and Positive Development),1144,37,Health Care,273,Graduate Certificate/Graduate Diploma,36,4,2,United Kingdom
167194722,Advanced Chemical and Petroleum Engineering,1145,38,Chemical Engineering,47,Master,43,2,2,United Kingdom
138864722,Advanced Chemical Engineering,1146,21,Chemical Engineering,47,Master,43,2,2,United Kingdom
1442432022,Advanced Chemistry,1147,23,Chemistry,320,Master,44,2,2,United Kingdom
140365122,Advanced Civil and Structural Engineering,1148,14,Civil Engineering,51,Master,8,2,2,United Kingdom
1144918423,Advanced Clinical Physiotherapy - Sports,1149,73,Sports Sciences,184,Master,92,2,3,Australia
924727322,Advanced Clinical Practice,1150,38,Health Care,273,Master,36,2,2,United Kingdom
924727342,Advanced Clinical Practice,1150,38,Health Care,273,Graduate Certificate/Graduate Diploma,36,4,2,United Kingdom
1114256414,Advanced Communication for Professionals,1151,99,Communication Studies,56,Graduate Certificate/Graduate Diploma,7,4,14,Canada
146255622,Advanced Communications Systems,1152,100,Communication Studies,56,Master,7,2,2,United Kingdom
1394432022,Advanced Composites and Polymers,1153,57,Chemistry,320,Master,44,2,2,United Kingdom
1228133925,Advanced Computational and Civil Engineering Structural Studies,1154,140,Computer Science,339,Master,2,2,5,Germany
1538233922,Advanced Computational Methods,1155,141,Computer Science,339,Master,2,2,2,United Kingdom
931833922,Advanced Computer Networking,1156,62,Computer Science,339,Master,2,2,2,United Kingdom
922533922,Advanced Computer Science,1157,8,Computer Science,339,Master,2,2,2,United Kingdom
1510833922,Advanced Computer Systems Development,1158,142,Computer Science,339,Master,2,2,2,United Kingdom
1153633913,Advanced Computing,1159,63,Computer Science,339,Bachelor,2,1,3,Australia
1153633922,Advanced Computing,1159,63,Computer Science,339,Master,2,2,2,United Kingdom
1625133922,Advanced Computing Science,1160,143,Computer Science,339,Master,2,2,2,United Kingdom
1530127342,Advanced Concrete Technology PGDip,1161,39,Health Care,273,Graduate Certificate/Graduate Diploma,36,4,2,United Kingdom
1606731022,Advanced Control and Systems Engineering,1162,29,Engineering,310,Master,11,2,2,United Kingdom
1650323322,Advanced Control Systems,1163,7,Instrumentation and Control Engineering,233,Master,14,2,2,United Kingdom
164986122,Advanced Counselling and Psychotherapy Studies,1164,16,Counselling,61,Master,83,2,2,United Kingdom
1647233212,Advanced Dental Nursing,1165,19,Nursing,332,Bachelor,79,1,2,United Kingdom
74216721,Advanced Dental Therapy,1166,25,Dentistry,67,Master,42,2,1,USA
1000527333,Advanced Deployment Logistics,1167,40,Health Care,273,Certificate/Diploma,36,3,3,Australia
1140232323,Advanced Economics,1168,19,Economics,323,Master,54,2,3,Australia
171876751,Advanced Education in General Dentistry,1169,26,Dentistry,67,Doctorate,42,5,1,USA
1584232422,Advanced Educational Practice,1170,255,Education,324,Master,55,2,2,United Kingdom
153837522,Advanced Electrical and Electronic Engineering,1171,19,Electrical and Electronics Engineering,75,Master,9,2,2,United Kingdom
143497522,Advanced Electronic and Electrical Engineering,1172,20,Electrical and Electronics Engineering,75,Master,9,2,2,United Kingdom
1168131023,Advanced Engineering,1173,30,Engineering,310,Master,11,2,3,Australia
1168131027,Advanced Engineering,1173,30,Engineering,310,Master,11,2,7,Ireland
1168131022,Advanced Engineering,1173,30,Engineering,310,Master,11,2,2,United Kingdom
10376321114,Advanced Entry,1174,48,Commerce,321,Bachelor,23,1,14,Canada
10376332114,Advanced Entry,1174,185,Nursing,332,Bachelor,79,1,14,Canada
11195305314,Advanced Fiction Writing,1175,5,Writing,305,Certificate/Diploma,106,3,14,Canada
1482532622,Advanced Film Practice,1176,60,"Film, Photography and Media",326,Master,56,2,2,United Kingdom
1168432723,Advanced Finance,1177,20,Finance,327,Master,34,2,3,Australia
1168432722,Advanced Finance,1177,20,Finance,327,Master,34,2,2,United Kingdom
139269522,Advanced Food Safety,1178,43,Food Science,95,Master,1,2,2,United Kingdom
10572292114,Advanced French,1179,2,French,292,Bachelor,111,1,14,Canada
123126725,Advanced General Dental Practice,1180,9,Dentistry,67,Master,42,2,5,Germany
152826722,Advanced General Dental Practice (International Pathway),1181,27,Dentistry,67,Master,42,2,2,United Kingdom
1501831022,Advanced Geotechnical Engineering,1182,31,Engineering,310,Master,11,2,2,United Kingdom
1019131924,Advanced Global Studies,1183,34,Business,319,Master,1,2,4,France
11221273414,Advanced Health Care Leadership,1184,41,Health Care,273,Graduate Certificate/Graduate Diploma,36,4,14,Canada
1122127323,Advanced Health Care Leadership,1184,41,Health Care,273,Master,36,2,3,Australia
1122127327,Advanced Health Care Leadership,1184,41,Health Care,273,Master,36,2,7,Ireland
1122127322,Advanced Health Care Leadership,1184,41,Health Care,273,Master,36,2,2,United Kingdom
1695729021,Advanced Instructional Studies - English as a Second Language (ESL),1185,50,English,290,Master,122,2,1,USA
965831922,Advanced International Business Management,1186,35,Business,319,Master,1,2,2,United Kingdom
966213622,Advanced International Business Management and Marketing,1187,38,Marketing,136,Master,80,2,2,United Kingdom
1492729822,Advanced Internetwork Engineering,1188,11,Network Engineering,298,Master,2,2,2,United Kingdom
119711343,Advanced Journalism,1189,15,Journalism,13,Graduate Certificate/Graduate Diploma,60,4,3,Australia
119711323,Advanced Journalism,1189,15,Journalism,13,Master,60,2,3,Australia
1136331913,Advanced Leadership,1190,36,Business,319,Bachelor,1,1,3,Australia
1136323713,Advanced Leadership,1190,162,Leadership,237,Bachelor,117,1,3,Australia
1000723733,Advanced Leadership and Management,1191,37,Leadership,237,Certificate/Diploma,117,3,3,Australia
205523721,Advanced Leadership Studies,1192,11,Leadership,237,Master,117,2,1,USA
2055237210,Advanced Leadership Studies,1192,11,Leadership,237,Master,117,2,10,New Zealand
1426531322,Advanced Legal Studies,1193,35,Law,313,Master,27,2,2,United Kingdom
948831022,Advanced Maintenance Engineering,1194,32,Engineering,310,Master,11,2,2,United Kingdom
1089634121,Advanced Management,1195,71,Management,341,Master,5,2,1,USA
10896350414,Advanced Management,1195,230,Business Management,350,Graduate Certificate/Graduate Diploma,7,4,14,Canada
754431021,Advanced Manufacturing and Enterprise Engineering,1196,33,Engineering,310,Master,11,2,1,USA
1597434122,Advanced Manufacturing Engineering and Management,1197,72,Management,341,Master,5,2,2,United Kingdom
11170350414,Advanced Manufacturing Management,1198,55,Business Management,350,Graduate Certificate/Graduate Diploma,7,4,14,Canada
1170211613,Advanced Manufacturing Systems,1199,19,Industrial Engineering,116,Bachelor,59,1,3,Australia
1170211622,Advanced Manufacturing Systems,1199,19,Industrial Engineering,116,Master,59,2,2,United Kingdom
636713611,Advanced Marketing Analytics,1200,14,Marketing,136,Bachelor,80,1,1,USA
1523313622,Advanced Marketing Management,1201,39,Marketing,136,Master,80,2,2,United Kingdom
1336231329,Advanced Master in Intellectual Property Law and Knowledge Management,1202,36,Law,313,Master,27,2,9,Netherlands
1235514025,Advanced Material Analysis,1203,6,Materials Sciences,140,Master,114,2,5,Germany
561814021,Advanced Material Science,1204,17,Materials Sciences,140,Master,114,2,1,USA
561814055,Advanced Material Science,1204,17,Materials Sciences,140,Doctorate,114,5,5,Germany
561814025,Advanced Material Science,1204,17,Materials Sciences,140,Master,114,2,5,Germany
561814022,Advanced Material Science,1204,17,Materials Sciences,140,Master,114,2,2,United Kingdom
1232914025,Advanced Materials and Processes,1205,28,Materials Sciences,140,Master,114,2,5,Germany
754914021,Advanced Materials Engineering,1206,29,Materials Sciences,140,Master,114,2,1,USA
754914022,Advanced Materials Engineering,1206,29,Materials Sciences,140,Master,114,2,2,United Kingdom
